Source,Target,Edge_Type,Distance(m)
0,1,sun_to_pitchPt,500
0,2,sun_to_panel,441.526673
0,3,sun_to_panel,434.999019
0,4,sun_to_panel,430.511092
0,5,sun_to_panel,425.123345
0,6,sun_to_panel,421.106205
0,7,sun_to_panel,418.993152
0,8,sun_to_panel,419.057255
0,9,sun_to_panel,420.993653
0,10,sun_to_panel,424.106791
0,11,sun_to_panel,427.760037
0,12,sun_to_panel,430.914006
0,13,sun_to_panel,434.960517
0,14,sun_to_panel,439.953219
0,15,sun_to_panel,445.566048
0,16,sun_to_panel,453.690377
0,17,sun_to_panel,464.479504
0,18,sun_to_panel,476.771983
0,19,sun_to_panel,488.938233
0,20,sun_to_panel,499.659949
0,21,sun_to_panel,508.023926
0,22,sun_to_panel,513.975737
0,23,sun_to_panel,518.67159
0,24,sun_to_panel,522.634767
0,25,sun_to_panel,524.644619
0,26,sun_to_panel,532.926797
0,27,sun_to_panel,537.742785
0,28,sun_to_panel,542.026925
0,29,sun_to_panel,544.231262
0,30,sun_to_panel,543.424528
0,31,sun_to_panel,540.579237
0,32,sun_to_panel,537.031898
0,33,sun_to_panel,533.499236
0,34,sun_to_panel,530.40063
0,35,sun_to_panel,527.006179
0,36,sun_to_panel,522.837592
0,37,sun_to_panel,517.804229
0,38,sun_to_panel,511.065705
0,39,sun_to_panel,502.476815
0,40,sun_to_panel,491.114388
0,41,sun_to_panel,480.416942
0,42,sun_to_panel,469.518352
0,43,sun_to_panel,458.821019
0,44,sun_to_panel,449.467176
0,45,sun_to_panel,436.553525
0,46,sun_to_panel,432.50828
0,47,sun_to_panel,426.571067
0,48,sun_to_panel,421.64411
0,49,sun_to_panel,418.293727
0,50,sun_to_panel,416.914737
0,51,sun_to_panel,417.515188
0,52,sun_to_panel,419.658915
0,53,sun_to_panel,422.768397
0,54,sun_to_panel,426.423979
0,55,sun_to_panel,430.39577
0,56,sun_to_panel,434.541475
0,57,sun_to_panel,439.305628
0,58,sun_to_panel,446.121858
0,59,sun_to_panel,455.943712
0,60,sun_to_panel,468.007066
0,61,sun_to_panel,480.605586
0,62,sun_to_panel,492.390427
0,63,sun_to_panel,502.205281
0,64,sun_to_panel,509.479481
0,65,sun_to_panel,514.693929
0,66,sun_to_panel,518.91998
0,67,sun_to_panel,522.884256
0,68,sun_to_panel,530.604249
0,69,sun_to_panel,535.4152
0,70,sun_to_panel,540.299024
0,71,sun_to_panel,544.028927
0,72,sun_to_panel,545.199997
0,73,sun_to_panel,543.693742
0,74,sun_to_panel,540.687165
0,75,sun_to_panel,537.216765
0,76,sun_to_panel,533.713638
0,77,sun_to_panel,530.291501
0,78,sun_to_panel,526.704695
0,79,sun_to_panel,522.222388
0,80,sun_to_panel,516.089143
0,81,sun_to_panel,507.933052
0,82,sun_to_panel,495.555504
0,83,sun_to_panel,485.1775
0,84,sun_to_panel,474.554348
0,85,sun_to_panel,463.031757
0,86,sun_to_panel,452.630533
0,87,sun_to_panel,443.867153
0,88,sun_to_panel,437.380847
