Source,Target,Edge_Type,Distance(m)
0,1,sun_to_pitchPt,500
0,2,sun_to_panel,559.311248
0,3,sun_to_panel,558.091813
0,4,sun_to_panel,552.169367
0,5,sun_to_panel,547.95607
0,6,sun_to_panel,542.293604
0,7,sun_to_panel,535.398681
0,8,sun_to_panel,527.635428
0,9,sun_to_panel,519.566815
0,10,sun_to_panel,511.9235
0,11,sun_to_panel,505.142322
0,12,sun_to_panel,499.151393
0,13,sun_to_panel,493.19991
0,14,sun_to_panel,487.035992
0,15,sun_to_panel,479.878796
0,16,sun_to_panel,470.65444
0,17,sun_to_panel,459.717104
0,18,sun_to_panel,448.909617
0,19,sun_to_panel,440.289948
0,20,sun_to_panel,434.604597
0,21,sun_to_panel,431.554028
0,22,sun_to_panel,430.355444
0,23,sun_to_panel,429.623111
0,24,sun_to_panel,429.953931
0,25,sun_to_panel,433.187265
0,26,sun_to_panel,430.983029
0,27,sun_to_panel,435.071688
0,28,sun_to_panel,442.030304
0,29,sun_to_panel,452.094108
0,30,sun_to_panel,464.232795
0,31,sun_to_panel,476.1393
0,32,sun_to_panel,486.029678
0,33,sun_to_panel,493.635849
0,34,sun_to_panel,499.956923
0,35,sun_to_panel,505.906836
0,36,sun_to_panel,512.126204
0,37,sun_to_panel,519.186652
0,38,sun_to_panel,527.010985
0,39,sun_to_panel,535.077329
0,40,sun_to_panel,539.564431
0,41,sun_to_panel,545.648561
0,42,sun_to_panel,553.778704
0,43,sun_to_panel,557.100627
0,44,sun_to_panel,558.87666
0,45,sun_to_panel,559.649965
0,46,sun_to_panel,552.493671
0,47,sun_to_panel,548.981576
0,48,sun_to_panel,544.002663
0,49,sun_to_panel,537.728095
0,50,sun_to_panel,530.49042
0,51,sun_to_panel,522.719055
0,52,sun_to_panel,515.052078
0,53,sun_to_panel,508.105311
0,54,sun_to_panel,501.898603
0,55,sun_to_panel,495.971085
0,56,sun_to_panel,489.99005
0,57,sun_to_panel,483.6262
0,58,sun_to_panel,475.670317
0,59,sun_to_panel,465.536902
0,60,sun_to_panel,454.504942
0,61,sun_to_panel,444.717003
0,62,sun_to_panel,437.509434
0,63,sun_to_panel,433.107283
0,64,sun_to_panel,430.979852
0,65,sun_to_panel,430.327549
0,66,sun_to_panel,430.448395
0,67,sun_to_panel,431.014099
0,68,sun_to_panel,428.565062
0,69,sun_to_panel,431.563971
0,70,sun_to_panel,437.164314
0,71,sun_to_panel,445.894014
0,72,sun_to_panel,457.482879
0,73,sun_to_panel,470.104447
0,74,sun_to_panel,481.450488
0,75,sun_to_panel,490.331607
0,76,sun_to_panel,497.26382
0,77,sun_to_panel,503.346396
0,78,sun_to_panel,509.515798
0,79,sun_to_panel,516.269254
0,80,sun_to_panel,523.81928
0,81,sun_to_panel,531.888037
0,82,sun_to_panel,535.07062
0,83,sun_to_panel,541.540356
0,84,sun_to_panel,552.331657
0,85,sun_to_panel,556.441425
0,86,sun_to_panel,559.012161
0,87,sun_to_panel,560.043928
0,88,sun_to_panel,561.466593
0,89,sun_to_panel,555.438809
0,90,sun_to_panel,552.654768
0,91,sun_to_panel,548.306671
0,92,sun_to_panel,542.509515
0,93,sun_to_panel,535.504341
0,94,sun_to_panel,527.674126
0,95,sun_to_panel,519.612762
0,96,sun_to_panel,512.096365
0,97,sun_to_panel,505.501078
0,98,sun_to_panel,499.41325
0,99,sun_to_panel,493.305879
0,100,sun_to_panel,487.14769
0,101,sun_to_panel,479.99195
0,102,sun_to_panel,470.555346
0,103,sun_to_panel,459.149405
0,104,sun_to_panel,447.851121
0,105,sun_to_panel,438.797806
0,106,sun_to_panel,432.76218
0,107,sun_to_panel,429.485546
0,108,sun_to_panel,428.199404
0,109,sun_to_panel,428.053981
0,110,sun_to_panel,428.411004
0,111,sun_to_panel,429.31554
0,112,sun_to_panel,427.827745
0,113,sun_to_panel,432.236134
0,114,sun_to_panel,437.349431
